Tematica,Nome Curso,Qtd. de Matrículas,Qtd. Inscrições Concluídas,% de Conclusão de Curso
Logística e Compras Públicas,Elaboração de Termos de Referência para Contratação de Bens e Serviços,7429,3639,"48,98%"
Logística e Compras Públicas,Fiscalização de Projetos e Obras de Engenharia,91504,18992,"20,76%"
Logística e Compras Públicas,Formação de pregoeiro - Visão Geral,10257,3816,"37,20%"
Logística e Compras Públicas,Formação de Pregoeiros - Teoria,23226,11456,"49,32%"
Logística e Compras Públicas,Fundamentos da Gestão da Logística Pública,2558,1114,"43,55%"
Logística e Compras Públicas,Gestão e Fiscalização de Contratos Administrativos,25906,15007,"57,93%"
Logística e Compras Públicas,Inventário Participativo,7732,3264,"42,21%"
Logística e Compras Públicas,Noções Introdutórias de Licitação e Contratos Administrativos,76733,27514,"35,86%"
Logística e Compras Públicas,Nova Lei de Licitações: Sanções ao fornecedor,8624,2804,"32,51%"
Logística e Compras Públicas,Nova lei de licitações: Visão Geral,11552,2704,"23,41%"
Logística e Compras Públicas,"Plano Diretor de Logística Sustentável: metodologia de construção, implementação e monitoramento",1268,171,"13,49%"
Logística e Compras Públicas,Prevenção e Detecção de Cartéis em Licitações,9271,3856,"41,59%"
Logística e Compras Públicas,SCDP - Aprovação e Pagamento,3128,1160,"37,08%"
Logística e Compras Públicas,SCDP - Solicitação de Afastamento do Servidor,4600,1903,"41,37%"
Logística e Compras Públicas,Termo de Referência ou Projeto Básico para a Contratação de TIC – Avançado,3620,1005,"27,76%"
Meio Ambiente,Criação de Reservas Particulares do Patrimônio Natural - RPPN,3557,947,"26,62%"
Meio Ambiente,Gestão do Programa de Voluntariado nas Unidades Organizacionais do ICMBio,2089,1096,"52,47%"
Meio Ambiente,"Monitoramento da biodiversidade: gestão, análise e síntese dos dados",8648,1953,"22,58%"
Meio Ambiente,Percepção e Mapeamento de Áreas de Risco Geológico,10545,3872,"36,72%"
Meio Ambiente,Programa de Voluntariado nas Unidades Organizacionais do ICMBio,4707,2524,"53,62%"
Meio Ambiente,Sistema de Autorização e Informação em Biodiversidade (Sisbio) - curso básico para pesquisadores,4738,928,"19,59%"
Meio Ambiente,Sustentabilidade na Administração Pública,18739,10918,"58,26%"
Meio Ambiente,Unidades de Conservação Federais: serviços de apoio à visitação e autorização de eventos,1136,300,"26,41%"
Orçamento e Finanças,Ampliação das Receitas Municipais,1386,656,"47,33%"
Orçamento e Finanças,Aplicação do Instrumento de Melhoria da Gestão das Transferências da União - IMG-Tr,3903,2490,"63,80%"
Orçamento e Finanças,Básico em Orçamento Público,53302,25147,"47,18%"
Orçamento e Finanças,Ciclo de Gestão do Investimento Público,18786,9149,"48,70%"
Orçamento e Finanças,Contabilidade com foco na gestão da informação contábil,4582,1466,"31,99%"
Orçamento e Finanças,Contabilidade com Foco na Gestão do Orçamento Público,4946,1048,"21,19%"
Orçamento e Finanças,Contabilidade com Foco na Gestão do Patrimônio Público,5994,3110,"51,89%"
Orçamento e Finanças,Contabilidade pública e conformidade na gestão,2598,904,"34,80%"
Orçamento e Finanças,Demonstrativo de Informações Previdenciárias e Repasses (DIPR) e Parcelamento de débitos previdenciários dos RPPS,1927,468,"24,29%"
Orçamento e Finanças,Demonstrativo do Resultado da Avaliação Atuarial - DRAA,4839,1786,"36,91%"
Orçamento e Finanças,Educação Fiscal - Estado e Tributação,14237,6010,"42,21%"
